cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
US437076BT,82 HOME DEPOT INC 2.8% 14Sep2027,0.0426,0.98493,0.028,2027-09-14,1.1745379876796715,5445833333.33,1000.0,,The Home Depot Inc
US437076BW,12 HOME DEPOT INC 3.9% 06Dec2028,0.0437,0.98671,0.039,2028-12-06,2.403832991101985,5445833333.33,1000.0,,The Home Depot Inc
US437076AS,19 HOME DEPOT INC 5.875% 16Dec2036,0.0539,1.03537,0.05875,2036-12-16,10.431211498973306,5445833333.33,1000.0,,The Home Depot Inc
US437076AU,64 HOME DEPOT INC 5.4% 15Sep2040,0.0562,0.98389,0.054,2040-09-15,14.179329226557153,5445833333.33,1000.0,,The Home Depot Inc
US437076AV,48 HOME DEPOT INC 5.95% 01Apr2041,0.0568,1.01834,0.0595,2041-04-01,14.72142368240931,5445833333.33,1000.0,,The Home Depot Inc
US437076BA,91 HOME DEPOT INC 4.2% 01Apr2043,0.0585,0.82178,0.042,2043-04-01,16.720054757015742,5445833333.33,1000.0,,The Home Depot Inc
US437076BD,31 HOME DEPOT INC 4.875% 15Feb2044,0.05893,0.8899,0.04875,2044-02-15,17.596167008898014,5445833333.33,1000.0,,The Home Depot Inc
US437076BF,88 HOME DEPOT INC 4.4% 15Mar2045,0.0597,0.82198,0.044,2045-03-15,18.67488021902806,5445833333.33,1000.0,,The Home Depot Inc
US437076BH,45 HOME DEPOT INC 4.25% 01Apr2046,0.0596,0.798587,0.0425,2046-04-01,19.720739219712527,5445833333.33,1000.0,,The Home Depot Inc
US437076BS,00 HOME DEPOT INC 3.9% 15Jun2047,0.0599,0.75023,0.039,2047-06-15,20.92539356605065,5445833333.33,1000.0,,The Home Depot Inc
US437076BX,94 HOME DEPOT INC 4.5% 06Dec2048,0.0599,0.81401,0.045,2048-12-06,22.403832991101986,5445833333.33,1000.0,,The Home Depot Inc
US437076BP,60 HOME DEPOT INC 3.5% 15Sep2056,0.0598,0.652099,0.035,2056-09-15,30.17932922655715,5445833333.33,1000.0,,The Home Depot Inc
