tenor,real_rf,market_erp
1.0,0.021812668,0.039592000
2.0,0.023103120,0.043492000
3.0,0.024263951,0.045334000
4.0,0.025307031,0.043148000
5.0,0.026239224,0.042013000
6.0,0.027019750,0.039865000
7.0,0.027652458,0.037832000
8.0,0.028234660,0.034919000
9.0,0.028792706,0.032433000
10.0,0.029292020,0.029898000
11.0,0.029863667,0.029572000
12.0,0.030499582,0.027467000
13.0,0.031113360,0.025415000
14.0,0.031658156,0.023449000
15.0,0.032163429,0.021600000
16.0,0.032576186,0.019667000
17.0,0.032914701,0.018222000
18.0,0.033152451,0.016990000
19.0,0.033315899,0.015997000
20.0,0.033319471,0.015265000
21.0,0.033442285,0.019713000
22.0,0.033721003,0.019572000
23.0,0.033934561,0.019486000
24.0,0.034099246,0.019456000
25.0,0.034210972,0.019480000
26.0,0.034265660,0.019577000
27.0,0.034259241,0.019711000
28.0,0.034159129,0.019893000
29.0,0.034016292,0.020125000
30.0,0.033769657,0.020408000
31.0,0.028465618,0.010544032
32.0,0.028465618,0.010544032
33.0,0.028465618,0.010544032
34.0,0.028465618,0.010544032
35.0,0.028465618,0.010544032
36.0,0.028465618,0.010544032
37.0,0.028465618,0.010544032
38.0,0.028465618,0.010544032
39.0,0.028465618,0.010544032
40.0,0.028465618,0.010544032
41.0,0.028465618,0.010544032
42.0,0.028465618,0.010544032
43.0,0.028465618,0.010544032
44.0,0.028465618,0.010544032
45.0,0.028465618,0.010544032
46.0,0.028465618,0.010544032
47.0,0.028465618,0.010544032
48.0,0.028465618,0.010544032
49.0,0.028465618,0.010544032
50.0,0.028465618,0.010544032
51.0,0.028465618,0.010544032
52.0,0.028465618,0.010544032
53.0,0.028465618,0.010544032
54.0,0.028465618,0.010544032
55.0,0.028465618,0.010544032
56.0,0.028465618,0.010544032
57.0,0.028465618,0.010544032
58.0,0.028465618,0.010544032
59.0,0.028465618,0.010544032
60.0,0.028465618,0.010544032
61.0,0.028465618,0.010544032
62.0,0.028465618,0.010544032
63.0,0.028465618,0.010544032
64.0,0.028465618,0.010544032
65.0,0.028465618,0.010544032
66.0,0.028465618,0.010544032
67.0,0.028465618,0.010544032
68.0,0.028465618,0.010544032
69.0,0.028465618,0.010544032
70.0,0.028465618,0.010544032
71.0,0.028465618,0.010544032
72.0,0.028465618,0.010544032
73.0,0.028465618,0.010544032
74.0,0.028465618,0.010544032
75.0,0.028465618,0.010544032
76.0,0.028465618,0.010544032
77.0,0.028465618,0.010544032
78.0,0.028465618,0.010544032
79.0,0.028465618,0.010544032
80.0,0.028465618,0.010544032
81.0,0.028465618,0.010544032
82.0,0.028465618,0.010544032
83.0,0.028465618,0.010544032
84.0,0.028465618,0.010544032
85.0,0.028465618,0.010544032
86.0,0.028465618,0.010544032
87.0,0.028465618,0.010544032
88.0,0.028465618,0.010544032
89.0,0.028465618,0.010544032
90.0,0.028465618,0.010544032
91.0,0.028465618,0.010544032
92.0,0.028465618,0.010544032
93.0,0.028465618,0.010544032
94.0,0.028465618,0.010544032
95.0,0.028465618,0.010544032
96.0,0.028465618,0.010544032
97.0,0.028465618,0.010544032
98.0,0.028465618,0.010544032
99.0,0.028465618,0.010544032
100.0,0.028465618,0.010544032
101.0,0.028465618,0.010544032
102.0,0.028465618,0.010544032
103.0,0.028465618,0.010544032
104.0,0.028465618,0.010544032
105.0,0.028465618,0.010544032
106.0,0.028465618,0.010544032
107.0,0.028465618,0.010544032
108.0,0.028465618,0.010544032
109.0,0.028465618,0.010544032
110.0,0.028465618,0.010544032
111.0,0.028465618,0.010544032
112.0,0.028465618,0.010544032
113.0,0.028465618,0.010544032
114.0,0.028465618,0.010544032
115.0,0.028465618,0.010544032
116.0,0.028465618,0.010544032
117.0,0.028465618,0.010544032
118.0,0.028465618,0.010544032
119.0,0.028465618,0.010544032
120.0,0.028465618,0.010544032
121.0,0.028465618,0.010544032
122.0,0.028465618,0.010544032
123.0,0.028465618,0.010544032
124.0,0.028465618,0.010544032
125.0,0.028465618,0.010544032
126.0,0.028465618,0.010544032
127.0,0.028465618,0.010544032
128.0,0.028465618,0.010544032
129.0,0.028465618,0.010544032
130.0,0.028465618,0.010544032
131.0,0.028465618,0.010544032
132.0,0.028465618,0.010544032
133.0,0.028465618,0.010544032
134.0,0.028465618,0.010544032
135.0,0.028465618,0.010544032
136.0,0.028465618,0.010544032
137.0,0.028465618,0.010544032
138.0,0.028465618,0.010544032
139.0,0.028465618,0.010544032
140.0,0.028465618,0.010544032
141.0,0.028465618,0.010544032
142.0,0.028465618,0.010544032
143.0,0.028465618,0.010544032
144.0,0.028465618,0.010544032
145.0,0.028465618,0.010544032
146.0,0.028465618,0.010544032
147.0,0.028465618,0.010544032
148.0,0.028465618,0.010544032
149.0,0.028465618,0.010544032
150.0,0.028465618,0.010544032
