tenor,real_rf,market_erp,idiosyncratic,company_erp,real_coe
1.0,0.013000000,0.039714000,0.014477674,0.054191674,0.067191674
2.0,0.017355000,0.043564000,0.012170966,0.055734966,0.073089966
3.0,0.021714000,0.045449000,0.01594864,0.061397640,0.083111640
4.0,0.026078000,0.046869000,0.015941745,0.062810745,0.088888745
5.0,0.030446000,0.048165000,0.015905998,0.064070998,0.094516998
6.0,0.024824000,0.047670000,0.015843057,0.063513057,0.088337057
7.0,0.025866000,0.047619000,0.015752671,0.063371671,0.089237671
8.0,0.026907000,0.046368000,0.015632378,0.062000378,0.088907378
9.0,0.027950000,0.045494000,0.015480388,0.060974388,0.088924388
10.0,0.028992000,0.044368000,0.015294004,0.059662004,0.088654004
11.0,0.028157000,0.042987000,0.015070963,0.058057963,0.086214963
12.0,0.028858000,0.041362000,0.014810555,0.056172555,0.085030555
13.0,0.029559000,0.039533000,0.014511912,0.054044912,0.083603912
14.0,0.030261000,0.037519000,0.014175129,0.051694129,0.081955129
15.0,0.030963000,0.035333000,0.013800829,0.049133829,0.080096829
16.0,0.031664000,0.032686000,0.013390294,0.046076294,0.077740294
17.0,0.032366000,0.030396000,0.012944096,0.043340096,0.075706096
18.0,0.033068000,0.028045000,0.01246413,0.040509130,0.073577130
19.0,0.033770000,0.025655000,0.011951037,0.037606037,0.071376037
20.0,0.034473000,0.023245000,0.011406674,0.034651674,0.069124674
21.0,0.032008000,0.023200000,0.010831787,0.034031787,0.066039787
22.0,0.032409000,0.022496000,0.010227364,0.032723364,0.065132364
23.0,0.032810000,0.021831000,0.009594223,0.031425223,0.064235223
24.0,0.033211000,0.021201000,0.008933142,0.030134142,0.063345142
25.0,0.033612000,0.020605000,0.008244814,0.028849814,0.062461814
26.0,0.034013000,0.020491000,0.007530185,0.028021185,0.062034185
27.0,0.034414000,0.020080000,0.006789236,0.026869236,0.061283236
28.0,0.034815000,0.019691000,0.006023013,0.025714013,0.060529013
29.0,0.035216000,0.019324000,0.005231274,0.024555274,0.059771274
30.0,0.035617000,0.018974000,0.004414815,0.023388815,0.059005815
31.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
32.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
33.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
34.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
35.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
36.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
37.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
38.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
39.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
40.0,0.031008037,0.016105117,0.004414815,0.020519932,0.051527969
41.0,0.031008037,0.016105117,0.004506069,0.020611186,0.051619223
42.0,0.031008037,0.016105117,0.004774945,0.020880061,0.051888098
43.0,0.031008037,0.016105117,0.005214173,0.02131929,0.052327327
44.0,0.031008037,0.016105117,0.00581656,0.021921677,0.052929714
45.0,0.031008037,0.016105117,0.006574972,0.022680088,0.053688125
46.0,0.031008037,0.016105117,0.007482323,0.02358744,0.054595477
47.0,0.031008037,0.016105117,0.008531572,0.024636689,0.055644725
48.0,0.031008037,0.016105117,0.009715703,0.02582082,0.056828856
49.0,0.031008037,0.016105117,0.011027723,0.027132839,0.058140876
50.0,0.031008037,0.016105117,0.012460649,0.028565766,0.059573802
51.0,0.031008037,0.016105117,0.014007502,0.030112618,0.061120655
52.0,0.031008037,0.016105117,0.015661297,0.031766413,0.06277445
53.0,0.031008037,0.016105117,0.017415036,0.033520153,0.06452819
54.0,0.031008037,0.016105117,0.019261704,0.03536682,0.066374857
55.0,0.031008037,0.016105117,0.021194255,0.037299372,0.068307408
56.0,0.031008037,0.016105117,0.023205615,0.039310731,0.070318768
57.0,0.031008037,0.016105117,0.025288669,0.041393785,0.072401822
58.0,0.031008037,0.016105117,0.02743626,0.043541377,0.074549414
59.0,0.031008037,0.016105117,0.029641184,0.045746301,0.076754338
60.0,0.031008037,0.016105117,0.031896184,0.048001301,0.079009337
61.0,0.031008037,0.016105117,0.034193946,0.050299063,0.0813071
62.0,0.031008037,0.016105117,0.0365271,0.052632216,0.083640253
63.0,0.031008037,0.016105117,0.038888211,0.054993327,0.086001364
64.0,0.031008037,0.016105117,0.041269782,0.057374899,0.088382936
65.0,0.031008037,0.016105117,0.043664251,0.059769368,0.090777405
66.0,0.031008037,0.016105117,0.046063988,0.062169105,0.093177142
67.0,0.031008037,0.016105117,0.048461296,0.064566413,0.095574449
68.0,0.031008037,0.016105117,0.05084841,0.066953527,0.097961563
69.0,0.031008037,0.016105117,0.053217499,0.069322616,0.100330653
70.0,0.031008037,0.016105117,0.055560665,0.071665782,0.102673819
71.0,0.031008037,0.016105117,0.057869947,0.073975064,0.1049831
72.0,0.031008037,0.016105117,0.06013732,0.076242436,0.107250473
73.0,0.031008037,0.016105117,0.062354699,0.078459816,0.109467852
74.0,0.031008037,0.016105117,0.064513945,0.080619062,0.111627098
75.0,0.031008037,0.016105117,0.066606865,0.082711982,0.113720018
76.0,0.031008037,0.016105117,0.068625218,0.084730335,0.115738372
77.0,0.031008037,0.016105117,0.070560721,0.086665838,0.117673875
78.0,0.031008037,0.016105117,0.072405053,0.08851017,0.119518207
79.0,0.031008037,0.016105117,0.074149863,0.09025498,0.121263016
80.0,0.031008037,0.016105117,0.075786775,0.091891892,0.122899928
81.0,0.031008037,0.016105117,0.077307397,0.093412514,0.124420551
82.0,0.031008037,0.016105117,0.07870333,0.094808447,0.125816483
83.0,0.031008037,0.016105117,0.079966174,0.09607129,0.127079327
84.0,0.031008037,0.016105117,0.081087538,0.097192655,0.128200692
85.0,0.031008037,0.016105117,0.082059054,0.098164171,0.129172208
86.0,0.031008037,0.016105117,0.082872382,0.098977499,0.129985535
87.0,0.031008037,0.016105117,0.083519223,0.09962434,0.130632377
88.0,0.031008037,0.016105117,0.083991333,0.100096449,0.131104486
89.0,0.031008037,0.016105117,0.084280531,0.100385647,0.131393684
90.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
91.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
92.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
93.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
94.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
95.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
96.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
97.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
98.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
99.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
100.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
101.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
102.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
103.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
104.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
105.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
106.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
107.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
108.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
109.0,0.031008037,0.016105117,0.084378716,0.100483832,0.131491869
