cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
US594918BY,93 MICROSOFT CORP 3.3% 06Feb2027,0.0397,0.99566,0.033,2027-02-06,0.5722108145106092,7156016666.67,1000.0,,Microsoft Corporation
US594918BC,73 MICROSOFT CORP 3.5% 12Feb2035,0.0487,0.89707,0.035,2035-02-12,8.588637919233403,7156016666.67,1000.0,,Microsoft Corporation
US594918BK,99 MICROSOFT CORP 4.2% 03Nov2035,0.0492,0.94267,0.042,2035-11-03,9.311430527036277,7156016666.67,1000.0,,Microsoft Corporation
US594918BS,26 MICROSOFT CORP 3.45% 08Aug2036,0.0509,0.86875,0.0345,2036-08-08,10.075290896646132,7156016666.67,1000.0,,Microsoft Corporation
US594918BZ,68 MICROSOFT CORP 4.1% 06Feb2037,0.051,0.91343,0.041,2037-02-06,10.573579739904176,7156016666.67,1000.0,,Microsoft Corporation
US594918AD,65 MICROSOFT CORP 5.2% 01Jun2039,0.052,0.99338,0.052,2039-06-01,12.8870636550308,7156016666.67,1000.0,,Microsoft Corporation
US594918AJ,36 MICROSOFT CORP 4.5% 01Oct2040,0.054,0.90194,0.045,2040-10-01,14.223134839151266,7156016666.67,1000.0,,Microsoft Corporation
US594918AM,64 MICROSOFT CORP 5.3% 08Feb2041,0.0538,0.98774,0.053,2041-02-08,14.57905544147844,7156016666.67,1000.0,,Microsoft Corporation
US594918AR,51 MICROSOFT CORP 3.5% 15Nov2042,0.056558,0.77357,0.035,2042-11-15,16.344969199178646,7156016666.67,1000.0,,Microsoft Corporation
US594918AU,80 MICROSOFT CORP 3.75% 01May2043,0.057915,0.78435,0.0375,2043-05-01,16.802190280629706,7156016666.67,1000.0,,Microsoft Corporation
US594918BD,56 MICROSOFT CORP 3.75% 12Feb2045,0.0586,0.76078,0.0375,2045-02-12,18.590006844626966,7156016666.67,1000.0,,Microsoft Corporation
US594918BL,72 MICROSOFT CORP 4.45% 03Nov2045,0.0582,0.83854,0.0445,2045-11-03,19.312799452429843,7156016666.67,1000.0,,Microsoft Corporation
US594918BT,09 MICROSOFT CORP 3.7% 08Aug2046,0.0588,0.74373,0.037,2046-08-08,20.073921971252567,7156016666.67,1000.0,,Microsoft Corporation
US594918CA,09 MICROSOFT CORP 4.25% 06Feb2047,0.0584,0.80386,0.0425,2047-02-06,20.57221081451061,7156016666.67,1000.0,,Microsoft Corporation
US594918BE,30 MICROSOFT CORP 4% 12Feb2055,0.0592,0.7356,0.04,2055-02-12,28.588637919233403,7156016666.67,1000.0,,Microsoft Corporation
US594918BM,55 MICROSOFT CORP 4.75% 03Nov2055,0.0593,0.83393,0.0475,2055-11-03,29.311430527036276,7156016666.67,1000.0,,Microsoft Corporation
US594918BU,71 MICROSOFT CORP 3.95% 08Aug2056,0.05935,0.7149,0.0395,2056-08-08,30.075290896646134,7156016666.67,1000.0,,Microsoft Corporation
US594918CB,81 MICROSOFT CORP 4.5% 06Feb2057,0.05925,0.772689,0.045,2057-02-06,30.573579739904176,7156016666.67,1000.0,,Microsoft Corporation
