Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US594918BY93 MICROSOFT CORP 3.3% 06Feb2027,0.039662,0.99696,0.033,2027-02-06,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BC73 MICROSOFT CORP 3.5% 12Feb2035,0.0488,0.90751,0.035,2035-02-12,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BK99 MICROSOFT CORP 4.2% 03Nov2035,0.0487,0.95029,0.042,2035-11-03,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BS26 MICROSOFT CORP 3.45% 08Aug2036,0.051,0.87767,0.0345,2036-08-08,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BZ68 MICROSOFT CORP 4.1% 06Feb2037,0.0507,0.92612,0.041,2037-02-06,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918AD65 MICROSOFT CORP 5.2% 01Jun2039,0.0516,1.00265,0.052,2039-06-01,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918AJ36 MICROSOFT CORP 4.5% 01Oct2040,0.0535,0.904549,0.045,2040-10-01,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918AM64 MICROSOFT CORP 5.3% 08Feb2041,0.0535,0.99293,0.053,2041-02-08,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918AR51 MICROSOFT CORP 3.5% 15Nov2042,0.0565,0.77745,0.035,2042-11-15,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918AU80 MICROSOFT CORP 3.75% 01May2043,0.05785,0.79499,0.0375,2043-05-01,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BD56 MICROSOFT CORP 3.75% 12Feb2045,0.05792,0.77019,0.0375,2045-02-12,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BL72 MICROSOFT CORP 4.45% 03Nov2045,0.0583,0.84612,0.0445,2045-11-03,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BT09 MICROSOFT CORP 3.7% 08Aug2046,0.0587,0.74988,0.037,2046-08-08,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918CA09 MICROSOFT CORP 4.25% 06Feb2047,0.0584,0.81476,0.0425,2047-02-06,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BE30 MICROSOFT CORP 4% 12Feb2055,0.0587,0.74297,0.04,2055-02-12,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BM55 MICROSOFT CORP 4.75% 03Nov2055,0.0591,0.83785,0.0475,2055-11-03,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918BU71 MICROSOFT CORP 3.95% 08Aug2056,0.05945,0.724291,0.0395,2056-08-08,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
US594918CB81 MICROSOFT CORP 4.5% 06Feb2057,0.0594,0.79265,0.045,2057-02-06,7156016666.67,"1,000.00 USD",,—,Microsoft Corporation
