Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US00206RDQ20 AT&T INC 4.25% 01Mar2027,0.0444,0.9993,0.0425,2027-03-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RGL06 AT&T INC 4.1% 15Feb2028,0.0457,1.00328,0.041,2028-02-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RGM88 AT&T INC 6.375% 01Jun2028,0.045,1.02647,0.06375,2028-06-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RGQ92 AT&T INC 4.3% 15Feb2030,0.0477,0.98391,0.043,2030-02-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RCP55 AT&T INC 4.5% 15May2035,0.0546,0.93159,0.045,2035-05-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RAB87 AT&T INC 6.8% 15May2036,0.055948,1.09206,0.068,2036-05-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDR03 AT&T INC 5.25% 01Mar2037,0.0562,0.9704,0.0525,2037-03-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RFW79 AT&T INC 4.9% 15Aug2037,0.0549,0.94388,0.049,2037-08-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RAD44 AT&T INC 6.5% 01Sep2037,0.05735,1.04015,0.065,2037-09-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RAG74 AT&T INC 6.3% 15Jan2038,0.0577,1.0424,0.063,2038-01-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RAS13 AT&T INC 6.55% 15Feb2039,0.05675,1.07888,0.0655,2039-02-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDF64 AT&T INC 6% 15Aug2040,0.0593,1.00768,0.06,2040-08-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDG48 AT&T INC 6.375% 01Mar2041,0.0584,1.04273,0.06375,2041-03-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RBA95 AT&T INC 5.55% 15Aug2041,0.0584,0.9654,0.0555,2041-08-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDH21 AT&T INC 5.15% 15Mar2042,0.06105,0.90334,0.0515,2042-03-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RBH49 AT&T INC 4.3% 15Dec2042,0.06145,0.8045,0.043,2042-12-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RJK95 AT&T Inc 4.65% 1jun2044,0.0617,0.8385,0.0465,2044-06-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RCG56 AT&T INC 4.8% 15Jun2044,0.0628,0.839175,0.048,2044-06-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RBK77 AT&T INC 4.35% 15Jun2045,0.0623,0.78632,0.0435,2045-06-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RCQ39 AT&T INC 4.75% 15May2046,0.06285,0.82255,0.0475,2046-05-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RHA32 AT&T INC 5.15% 15Nov2046,0.0622,0.86818,0.0515,2046-11-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RCU41 AT&T INC 5.65% 15Feb2047,0.06065,0.93247,0.0565,2047-02-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDS85 AT&T INC 5.45% 01Mar2047,0.063086,0.90165,0.0545,2047-03-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDJ86 AT&T INC 4.5% 09Mar2048,0.0628,0.7827,0.045,2048-03-09,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDK59 AT&T INC 4.55% 09Mar2049,0.0633,0.77713,0.0455,2049-03-09,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RFU14 AT&T INC 5.15% 15Feb2050,0.0617,0.86102,0.0515,2050-02-15,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
US00206RDT68 AT&T INC 5.7% 01Mar2057,0.06315,0.91202,0.057,2057-03-01,6443925925.93,"1,000.00 USD",,—,AT&T Inc.
