Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
US68389XBN49 ORACLE CORP 3.25% 15Nov2027,0.0487,0.980003,0.0325,2027-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBD66 ORACLE CORP 3.25% 15May2030,0.05915,0.910069,0.0325,2030-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAV73 ORACLE CORP 4.3% 08Jul2034,0.0662,0.861051,0.043,2034-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBE40 ORACLE CORP 3.9% 15May2035,0.0675,0.810019,0.039,2035-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBH70 ORACLE CORP 3.85% 15Jul2036,0.0681,0.7918,0.0385,2036-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBP96 ORACLE CORP 3.8% 15Nov2037,0.06925,0.7743,0.038,2037-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAE58 ORACLE CORP 6.5% 15Apr2038,0.069516,0.965767,0.065,2038-04-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAH89 ORACLE CORP 6.125% 08Jul2039,0.07145,0.9195,0.06125,2039-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAM74 ORACLE CORP 5.375% 15Jul2040,0.07375,0.83148,0.05375,2040-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XAW56 ORACLE CORP 4.5% 08Jul2044,0.07548,0.70385,0.045,2044-07-08,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBF15 ORACLE CORP 4.125% 15May2045,0.075977,0.6565,0.04125,2045-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBJ37 ORACLE CORP 4% 15Jul2046,0.07555,0.641285,0.04,2046-07-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBQ79 ORACLE CORP 4% 15Nov2047,0.0759,0.62689,0.04,2047-11-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
US68389XBG97 ORACLE CORP 4.375% 15May2055,0.0755,0.63437,0.04375,2055-05-15,11156357142.86,"1,000.00 USD",,—,Oracle Corporation
